ID,Titre,AltTitre,Auteur,Date,Display_on_catalogue
1,Spieghel des Zeevaert,,Lucas Janszoon Waghenaer,1584-1623,TRUE
2,Projet défensif de la baie de Lampaul,,Louis-Nicolas de Clerville,1610-1677,TRUE
3,Neptune françois,,,1693,TRUE
4,Cartes des côtes de Bretagne avec position et numérotation des batteries,,,,TRUE
5,Plans de l'Isle d'Ouessant préalables à la construction du phare du Stiff,,Mollart,1700,TRUE
6,Plan de l'île d'Ouessant,,,1758,TRUE
7,Portulans remarquables,,,1375-1570,FALSE
8,Pilote français,,,,TRUE
9,Carte des ingénieurs géographes,,,1816-1843,TRUE
10,Carte particulière des Côtes de France.,,,entre 1771-1785,TRUE
11,Plans du phare de Nividic,,,,TRUE
12,Station de sauvetage du Stiff,,,,TRUE
13,Plans de bâtiments publics (construits ou projets) du XIXème siècle,,,,TRUE
14,Plans du phare du Créac'h,,,,TRUE
15,Cartes du service vicinal,,Ministère de l'Intérieur,1887-1923 (ici),TRUE
16,Carte de Cassini,,,,TRUE
17,Plans du phare de Kéréon,,,,TRUE
18,Description du pays Armorique,,Bertrand d'Argentré,,TRUE
19,Plans des écoles,,,,TRUE
20,Journal de bord de Nicolas Le Breton Pratmeur,,,,TRUE
21,Carte d'Etat-Major,,,,TRUE
22,Plans du Phare du Stiff,,Divers,1700-1888,TRUE
23,Dossiers sur les batteries et champs de mines allemands,,,1943-1947,TRUE
24,Le Petit Atlas Maritime,,Jacques-Nicolas Bellin,1764,TRUE
25,Cartes de Denis de la Voye,,,,TRUE
26,Cartes des phares des côtes de France,,,1848-...,TRUE
27,Cartes postales,,,,TRUE
28,Cadastre ancien,,,1842,TRUE
29,Cadastre rénové,,,1974,TRUE